iter	Passed	Remaining
0	10	10124
1	18	9226
2	25	8571
3	35	8816
4	44	8828
5	53	8902
6	65	9354
7	74	9199
8	85	9401
9	93	9279
10	104	9372
11	114	9426
12	122	9313
13	131	9252
14	138	9120
15	148	9111
16	155	9011
17	165	9050
18	175	9065
19	185	9074
20	194	9073
21	203	9046
22	213	9065
23	223	9107
24	234	9142
25	243	9127
26	251	9077
27	260	9057
28	269	9011
29	277	8959
30	284	8894
31	292	8852
32	300	8801
33	308	8765
34	317	8755
35	326	8751
36	348	9081
37	357	9055
38	364	8990
39	372	8934
40	379	8887
41	386	8824
42	394	8781
43	401	8718
44	409	8697
45	417	8661
46	426	8648
47	434	8614
48	443	8600
49	450	8563
50	458	8537
51	466	8499
52	474	8470
53	481	8438
54	489	8413
55	498	8403
56	509	8425
57	520	8457
58	531	8470
59	538	8442
60	549	8462
61	559	8457
62	566	8430
63	575	8422
64	583	8397
65	594	8412
66	602	8388
67	612	8392
68	620	8370
69	631	8389
70	641	8395
71	650	8381
72	660	8385
73	670	8386
74	680	8393
75	689	8377
76	699	8388
77	710	8394
78	719	8393
79	730	8404
80	739	8388
81	748	8385
82	758	8383
83	766	8362
84	776	8359
85	784	8339
86	793	8331
87	801	8310
88	809	8285
89	816	8255
90	835	8342
91	844	8333
92	851	8305
93	859	8284
94	866	8253
95	874	8237
96	881	8209
97	889	8189
98	896	8155
99	903	8132
100	910	8107
101	918	8088
102	926	8065
103	933	8042
104	942	8031
105	949	8008
106	958	8000
107	965	7976
108	973	7957
109	980	7933
110	988	7915
111	995	7891
112	1004	7881
113	1012	7866
114	1020	7853
115	1028	7834
116	1036	7821
117	1043	7800
118	1051	7786
119	1060	7777
120	1068	7765
121	1076	7750
122	1085	7738
123	1093	7724
124	1101	7710
125	1109	7694
126	1116	7675
127	1124	7659
128	1131	7642
129	1140	7630
130	1147	7609
131	1155	7601
132	1162	7580
133	1171	7570
134	1178	7551
135	1186	7537
136	1193	7518
137	1201	7505
138	1209	7489
139	1216	7475
140	1224	7458
141	1231	7441
142	1239	7430
143	1246	7411
144	1255	7402
145	1262	7385
146	1271	7377
147	1278	7360
148	1287	7353
149	1295	7340
150	1304	7335
151	1312	7321
152	1321	7314
153	1329	7301
154	1338	7294
155	1345	7277
156	1354	7272
157	1361	7257
158	1370	7248
159	1378	7236
160	1386	7227
161	1394	7211
162	1402	7202
163	1409	7187
164	1417	7174
165	1424	7158
166	1432	7146
167	1440	7132
168	1448	7120
169	1455	7106
